event,n,unique
0.0,628,0.6003184713375797
1.0,180,0.3277777777777778
2.0,245,0.4816326530612245
3.0,271,0.6273062730627307
4.0,127,0.4645669291338583
5.0,113,0.4690265486725664
6.0,321,0.62
8.0,115,0.460869565217391
9.0,96,0.4375
10.0,88,0.34090909090909005
12.0,120,0.5333333333333329
14.0,96,0.625
15.0,76,0.4736842105263158
16.0,75,0.4666666666666667
17.0,65,0.5076923076923077
19.0,83,0.5783132530120482
20.0,54,0.4814814814814815
21.0,58,0.3620689655172414
22.0,47,0.5744680851063829
23.0,58,0.6206896551724138
24.0,54,0.7962962962962963
25.0,58,0.4655172413793103
26.0,44,0.5
27.0,55,0.7090909090909091
28.0,54,0.7407407407407407
29.0,50,0.4
31.0,72,0.75
32.0,42,0.6904761904761905
33.0,33,0.42424242424242425
34.0,31,0.3870967741935484
35.0,34,0.5588235294117647
36.0,51,0.6274509803921569
37.0,41,0.5365853658536586
38.0,33,0.42424242424242425
39.0,33,0.4545454545454545
40.0,41,0.4634146341463415
41.0,36,0.5277777777777778
42.0,26,0.4230769230769231
43.0,32,0.71875
44.0,51,0.5294117647058824
45.0,23,0.5652173913043478
46.0,22,0.7272727272727273
47.0,20,0.05
49.0,70,0.7
50.0,24,0.375
51.0,21,0.2380952380952381
53.0,40,0.525
54.0,19,0.2631578947368421
55.0,23,0.5652173913043478
56.0,23,0.3478260869565217
